=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2024-11-5_3-1-5
====================================================================================
3:1:5 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
3:1:5 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
3:1:5 | [PermissionManager] Perm (FreeCamera) has been registered!
3:1:5 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
3:1:5 | [PermissionManager] Perm (MenuItemManager) has been registered!
3:1:5 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
3:1:5 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
3:1:5 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
3:1:5 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
3:1:5 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
3:1:5 | [PermissionManager] Perm (MenuServerManager) has been registered!
3:1:5 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
3:1:5 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
3:1:5 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
3:1:5 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
3:1:5 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
3:1:5 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
3:1:5 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
3:1:5 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
3:1:5 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
3:1:5 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
3:1:5 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
3:1:5 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
3:1:5 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
3:1:5 | [PermissionManager] Perm (MenuObjectManager) has been registered!
3:1:5 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
3:1:5 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
3:1:5 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
3:1:5 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
3:1:5 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
3:1:5 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
3:1:5 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
3:1:5 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
3:1:5 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
3:1:5 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
3:1:5 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
3:1:5 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
3:1:5 | [PermissionManager] Perm (MenuBansManager) has been registered!
3:1:5 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
3:1:5 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
3:1:5 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
3:1:5 | [PermissionManager] Perm (MenuWebHooks) has been registered!
3:1:5 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
3:1:5 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
3:1:5 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
3:1:5 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
3:1:5 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
3:1:5 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
3:1:5 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
3:1:5 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
3:1:5 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
3:1:5 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
3:1:5 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
3:1:5 | [PermissionManager] Perm (EspToolsMenu) has been registered!
3:1:5 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
3:1:5 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
3:1:5 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
3:1:5 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
3:1:5 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
3:1:5 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
3:1:5 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
3:1:5 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
3:1:5 | Error parsing credentials.txt! Please input a valid password, with no // at the start of the line!
3:1:5 | [PermissionManager] Adding Super Admin (76561198059652382)
3:1:5 | [PermissionManager] Loaded UserGroups.json
3:1:5 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
3:1:5 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
3:1:5 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
3:1:5 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
3:1:5 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
3:1:5 | Building Sets Loaded: 1
3:1:5 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
3:2:12 | Player "Ron Jeremy" (steamId=76561198059652382) connected to server!
3:2:25 | "Ron Jeremy" (steamid=76561198059652382) gave unlimited ammo to (steamid=76561198059652382)
3:3:0 | Player "Nate Higgers" (steamId=76561198143738244) connected to server!
3:9:25 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Pitbull)
3:9:27 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Pitbull_black)
3:15:38 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Msp_EmptyPlanterPot)
3:15:53 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (mmg_planter_box)
3:16:25 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (mmg_planter_box_kit)
3:16:27 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (StorageBox_PlanterBox)
3:19:28 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (CP_CannabisSeedsPackSkunk)
3:19:28 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (CP_CannabisSeedsPackBlue)
3:19:29 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (CP_CannabisSeedsPackKush)
3:19:30 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (CP_CannabisSeedsPackStardawg)
3:19:30 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (CP_CannabisSeedsPackFuture)
3:19:31 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (CP_CannabisSeedsPackS1)
3:19:32 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (CP_CannabisSeedsPackNomad)
3:19:33 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (CP_CannabisSeedsPackBlackFrost)
3:19:34 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (CP_TobaccoSeedsPack)
3:19:35 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (DP_CocaSeedsPack)
3:25:24 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:24 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:24 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:24 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:24 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:24 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:25 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:25 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:25 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:25 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:25 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:25 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:26 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:26 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:26 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:26 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:26 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:26 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:27 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:27 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:27 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:27 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:27 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:27 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:28 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:28 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:28 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:28 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:28 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:28 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:29 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:29 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:29 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:29 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:29 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:29 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:30 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:30 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:30 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:30 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:30 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:30 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:31 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:31 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:31 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:31 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:25:31 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_CapraHircus_Spooky)
3:27:7 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_UrsusArctos)
3:27:50 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (Animal_UrsusArctos)
3:36:41 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (SeaChest)
3:36:50 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (WoodenCrate)
3:38:5 | "Ron Jeremy" (steamid=76561198059652382) Spawned Item: (ExpansionAdminChest)
3:38:53 | "Ron Jeremy" (steamid=76561198059652382) deleted object "ExpansionAdminChest" (pos=<4145.584473, 324.436920, 8912.691406>)
3:44:20 | "Ron Jeremy" (steamid=76561198059652382) toggled freecam
3:44:47 | "Ron Jeremy" (steamid=76561198059652382) toggled freecam
3:46:23 | Player "Ron Jeremy" (steamId=76561198059652382) initiated disconnect process...
3:46:26 | Player "Ron Jeremy" (steamId=76561198059652382) disconnected early from server (EXIT NOW).
