-2024_9_14-21_28_26
21_28_41 | INFO | UtopiaAirdropModule has started
21_33_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_33_41 | DEBUG | [AIRDROP] Player count: 0
21_33_41 | INFO | [AIRDROP] Players to start the airdrop.0
21_38_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_38_41 | DEBUG | [AIRDROP] Player count: 0
21_38_41 | INFO | [AIRDROP] Players to start the airdrop.0
21_43_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_43_41 | DEBUG | [AIRDROP] Player count: 0
21_43_41 | INFO | [AIRDROP] Players to start the airdrop.0
21_48_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_48_41 | DEBUG | [AIRDROP] Player count: 0
21_48_41 | INFO | [AIRDROP] Players to start the airdrop.0
21_53_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_53_41 | DEBUG | [AIRDROP] Player count: 0
21_53_41 | INFO | [AIRDROP] Players to start the airdrop.0
21_58_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_58_41 | DEBUG | [AIRDROP] Player count: 0
21_58_41 | INFO | [AIRDROP] Players to start the airdrop.0
22_3_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_3_41 | DEBUG | [AIRDROP] Player count: 0
22_3_41 | INFO | [AIRDROP] Players to start the airdrop.0
22_8_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_8_41 | DEBUG | [AIRDROP] Player count: 0
22_8_41 | INFO | [AIRDROP] Players to start the airdrop.0
22_13_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_13_41 | DEBUG | [AIRDROP] Player count: 0
22_13_41 | INFO | [AIRDROP] Players to start the airdrop.0
22_18_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_18_41 | DEBUG | [AIRDROP] Player count: 0
22_18_41 | INFO | [AIRDROP] Players to start the airdrop.0
22_23_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_23_41 | DEBUG | [AIRDROP] Player count: 0
22_23_41 | INFO | [AIRDROP] Players to start the airdrop.0
22_28_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_28_41 | DEBUG | [AIRDROP] Player count: 0
22_28_41 | INFO | [AIRDROP] Players to start the airdrop.0
22_33_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_33_41 | DEBUG | [AIRDROP] Player count: 0
22_33_41 | INFO | [AIRDROP] Players to start the airdrop.0
22_38_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_38_41 | DEBUG | [AIRDROP] Player count: 0
22_38_41 | INFO | [AIRDROP] Players to start the airdrop.0
22_43_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_43_41 | DEBUG | [AIRDROP] Player count: 0
22_43_41 | INFO | [AIRDROP] Players to start the airdrop.0
22_48_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_48_41 | DEBUG | [AIRDROP] Player count: 0
22_48_41 | INFO | [AIRDROP] Players to start the airdrop.0
22_53_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_53_41 | DEBUG | [AIRDROP] Player count: 0
22_53_41 | INFO | [AIRDROP] Players to start the airdrop.0
22_58_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_58_41 | DEBUG | [AIRDROP] Player count: 0
22_58_41 | INFO | [AIRDROP] Players to start the airdrop.0
23_3_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
23_3_41 | DEBUG | [AIRDROP] Player count: 0
23_3_41 | INFO | [AIRDROP] Players to start the airdrop.0
23_8_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
23_8_41 | DEBUG | [AIRDROP] Player count: 0
23_8_41 | INFO | [AIRDROP] Players to start the airdrop.0
23_13_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
23_13_41 | DEBUG | [AIRDROP] Player count: 0
23_13_41 | INFO | [AIRDROP] Players to start the airdrop.0
23_18_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
23_18_41 | DEBUG | [AIRDROP] Player count: 0
23_18_41 | INFO | [AIRDROP] Players to start the airdrop.0
23_23_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
23_23_41 | DEBUG | [AIRDROP] Player count: 0
23_23_41 | INFO | [AIRDROP] Players to start the airdrop.0
23_28_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
23_28_41 | DEBUG | [AIRDROP] Player count: 0
23_28_41 | INFO | [AIRDROP] Players to start the airdrop.0
23_33_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
23_33_41 | DEBUG | [AIRDROP] Player count: 0
23_33_41 | INFO | [AIRDROP] Players to start the airdrop.0
23_38_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
23_38_41 | DEBUG | [AIRDROP] Player count: 0
23_38_41 | INFO | [AIRDROP] Players to start the airdrop.0
23_43_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
23_43_41 | DEBUG | [AIRDROP] Player count: 0
23_43_41 | INFO | [AIRDROP] Players to start the airdrop.0
23_48_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
23_48_41 | DEBUG | [AIRDROP] Player count: 0
23_48_41 | INFO | [AIRDROP] Players to start the airdrop.0
23_53_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
23_53_41 | DEBUG | [AIRDROP] Player count: 0
23_53_41 | INFO | [AIRDROP] Players to start the airdrop.0
23_58_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
23_58_41 | DEBUG | [AIRDROP] Player count: 0
23_58_41 | INFO | [AIRDROP] Players to start the airdrop.0
0_3_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
0_3_41 | DEBUG | [AIRDROP] Player count: 0
0_3_41 | INFO | [AIRDROP] Players to start the airdrop.0
0_8_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
0_8_41 | DEBUG | [AIRDROP] Player count: 0
0_8_41 | INFO | [AIRDROP] Players to start the airdrop.0
0_13_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
0_13_41 | DEBUG | [AIRDROP] Player count: 0
0_13_41 | INFO | [AIRDROP] Players to start the airdrop.0
0_18_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
0_18_41 | DEBUG | [AIRDROP] Player count: 0
0_18_41 | INFO | [AIRDROP] Players to start the airdrop.0
0_23_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
0_23_41 | DEBUG | [AIRDROP] Player count: 0
0_23_41 | INFO | [AIRDROP] Players to start the airdrop.0
0_28_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
0_28_41 | DEBUG | [AIRDROP] Player count: 0
0_28_41 | INFO | [AIRDROP] Players to start the airdrop.0
0_33_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
0_33_41 | DEBUG | [AIRDROP] Player count: 0
0_33_41 | INFO | [AIRDROP] Players to start the airdrop.0
0_38_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
0_38_41 | DEBUG | [AIRDROP] Player count: 0
0_38_41 | INFO | [AIRDROP] Players to start the airdrop.0
0_43_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
0_43_41 | DEBUG | [AIRDROP] Player count: 0
0_43_41 | INFO | [AIRDROP] Players to start the airdrop.0
0_48_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
0_48_41 | DEBUG | [AIRDROP] Player count: 0
0_48_41 | INFO | [AIRDROP] Players to start the airdrop.0
0_53_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
0_53_41 | DEBUG | [AIRDROP] Player count: 0
0_53_41 | INFO | [AIRDROP] Players to start the airdrop.0
0_58_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
0_58_41 | DEBUG | [AIRDROP] Player count: 0
0_58_41 | INFO | [AIRDROP] Players to start the airdrop.0
1_3_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
1_3_41 | DEBUG | [AIRDROP] Player count: 0
1_3_41 | INFO | [AIRDROP] Players to start the airdrop.0
1_8_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
1_8_41 | DEBUG | [AIRDROP] Player count: 0
1_8_41 | INFO | [AIRDROP] Players to start the airdrop.0
1_13_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
1_13_41 | DEBUG | [AIRDROP] Player count: 0
1_13_41 | INFO | [AIRDROP] Players to start the airdrop.0
1_18_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
1_18_41 | DEBUG | [AIRDROP] Player count: 0
1_18_41 | INFO | [AIRDROP] Players to start the airdrop.0
1_23_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
1_23_41 | DEBUG | [AIRDROP] Player count: 0
1_23_41 | INFO | [AIRDROP] Players to start the airdrop.0
1_28_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
1_28_41 | DEBUG | [AIRDROP] Player count: 0
1_28_41 | INFO | [AIRDROP] Players to start the airdrop.0
1_33_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
1_33_41 | DEBUG | [AIRDROP] Player count: 0
1_33_41 | INFO | [AIRDROP] Players to start the airdrop.0
1_38_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
1_38_41 | DEBUG | [AIRDROP] Player count: 0
1_38_41 | INFO | [AIRDROP] Players to start the airdrop.0
1_43_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
1_43_41 | DEBUG | [AIRDROP] Player count: 0
1_43_41 | INFO | [AIRDROP] Players to start the airdrop.0
1_48_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
1_48_41 | DEBUG | [AIRDROP] Player count: 0
1_48_41 | INFO | [AIRDROP] Players to start the airdrop.0
1_53_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
1_53_41 | DEBUG | [AIRDROP] Player count: 0
1_53_41 | INFO | [AIRDROP] Players to start the airdrop.0
1_58_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
1_58_41 | DEBUG | [AIRDROP] Player count: 0
1_58_41 | INFO | [AIRDROP] Players to start the airdrop.0
2_3_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
2_3_41 | DEBUG | [AIRDROP] Player count: 0
2_3_41 | INFO | [AIRDROP] Players to start the airdrop.0
2_8_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
2_8_41 | DEBUG | [AIRDROP] Player count: 0
2_8_41 | INFO | [AIRDROP] Players to start the airdrop.0
2_13_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
2_13_41 | DEBUG | [AIRDROP] Player count: 0
2_13_41 | INFO | [AIRDROP] Players to start the airdrop.0
2_18_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
2_18_41 | DEBUG | [AIRDROP] Player count: 0
2_18_41 | INFO | [AIRDROP] Players to start the airdrop.0
2_23_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
2_23_41 | DEBUG | [AIRDROP] Player count: 0
2_23_41 | INFO | [AIRDROP] Players to start the airdrop.0
2_28_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
2_28_41 | DEBUG | [AIRDROP] Player count: 0
2_28_41 | INFO | [AIRDROP] Players to start the airdrop.0
2_33_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
2_33_41 | DEBUG | [AIRDROP] Player count: 0
2_33_41 | INFO | [AIRDROP] Players to start the airdrop.0
2_38_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
2_38_41 | DEBUG | [AIRDROP] Player count: 0
2_38_41 | INFO | [AIRDROP] Players to start the airdrop.0
2_43_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
2_43_41 | DEBUG | [AIRDROP] Player count: 0
2_43_41 | INFO | [AIRDROP] Players to start the airdrop.0
2_48_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
2_48_41 | DEBUG | [AIRDROP] Player count: 0
2_48_41 | INFO | [AIRDROP] Players to start the airdrop.0
2_53_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
2_53_41 | DEBUG | [AIRDROP] Player count: 0
2_53_41 | INFO | [AIRDROP] Players to start the airdrop.0
2_58_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
2_58_41 | DEBUG | [AIRDROP] Player count: 0
2_58_41 | INFO | [AIRDROP] Players to start the airdrop.0
3_3_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
3_3_41 | DEBUG | [AIRDROP] Player count: 0
3_3_41 | INFO | [AIRDROP] Players to start the airdrop.0
3_8_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
3_8_41 | DEBUG | [AIRDROP] Player count: 0
3_8_41 | INFO | [AIRDROP] Players to start the airdrop.0
3_13_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
3_13_41 | DEBUG | [AIRDROP] Player count: 0
3_13_41 | INFO | [AIRDROP] Players to start the airdrop.0
3_18_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
3_18_41 | DEBUG | [AIRDROP] Player count: 0
3_18_41 | INFO | [AIRDROP] Players to start the airdrop.0
3_23_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
3_23_41 | DEBUG | [AIRDROP] Player count: 0
3_23_41 | INFO | [AIRDROP] Players to start the airdrop.0
3_28_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
3_28_41 | DEBUG | [AIRDROP] Player count: 0
3_28_41 | INFO | [AIRDROP] Players to start the airdrop.0
3_33_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
